JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Back-End Software Developer,PrepaidMeters.co.za,"Johannesburg, Gauteng",Active 5 days ago,2022-07-06,"We are re-writing the complete business system into microservices using python and mySQL, with the aim of developing and extending possible income streams.",R20000 a month,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Intermediate Python Developer † Johannesburg † R750k per annum,E-Merge,"Johannesburg, Gauteng",Posted 6 days ago,2022-07-06,"You are expected to be actively involved in the software development life cycle, develop a system efficient solution then integrate the planning to deliver…",R750000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Analyst,Network Recruitment,"Johannesburg, Gauteng",Posted 3 days ago,2022-07-06,"You will be responsible for Identify valuable data sources and automate collection, loading and transforming processes.Min 3 years Data Analyst experience.",R45000 a month,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Python developer,IOCO,"Johannesburg, Gauteng",Posted 1 day ago,2022-07-06,Knowledge of Selenium and Django framework is helpful.Experience with Agile/SCRUM and related testing frameworks.Knowledge of Atlassian suite or Azure DevOps.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Full Stack Python Developer,BASHR Consulting,"Remote in Johannesburg, Gauteng",Posted 4 days ago,2022-07-06,Our client in United Kingdom is looking for an all-rounder with solid experience in Full Stack Developing.You will also be responsible for security and data…,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Engineer,Psybergate,"Remote in Johannesburg, Gauteng",Posted 1 day ago,2022-07-06,"The Data Engineer is responsible to design and implement data pipelines and systems to enable clean and usable data to inform BI, MIS, data science and…",,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Senior C# Developer with Python and React.js † Remote † R960k PA,E-Merge,"Remote in Johannesburg, Gauteng",Posted 1 day ago,2022-07-06,"You will need to produce good quality code, test your own code, and review peer''s code.",R960000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Credit Risk Analyst,Network Recruitment,"Johannesburg, Gauteng",Posted Today,2022-07-06,This candidate will be responsible for supporting and contributing to the model development and validation function.,R600000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Python Developer,Network Recruitment,"Johannesburg, Gauteng",Posted 5 days ago,2022-07-06,3+ years software engineering experience Profound.Python skills and experience with modules such as Flask and Pandas.Background in Linux and networks.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
C# Developer,Communicate Recruitment,"Johannesburg, Gauteng",Posted 3 days ago,2022-07-06,Design clean and simple solutions.Improve and optimize the performance of existing systems.Take part in the design of the database and software.,R450000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
